symbol,name
AA,Alcoa Corp
ACC,"American Campus Communities, Inc"
ACHC,Acadia Healthcare Company Inc
ACIW,ACI Worldwide Inc
ACM,AECOM
ADNT,Adient PLC
ADS,Alliance Data Systems Corp
AEO,American Eagle Outfitters Inc
AFG,American Financial Group Inc
AGCO,AGCO Corp
AIRC,Apartment Income REIT Corp.
ALE,Allete Inc
AMED,Amedisys Inc
AMG,Affiliated Managers Group Inc
AMKR,Amkor Technology Inc
AN,AutoNation Inc
APPS,Digital Turbine Inc
ARW,Arrow Electronics Inc
ARWR,Arrowhead Pharmaceuticals Inc
ASB,Associated Bancorp
ASGN,ASGN Incorporated
ASH,Ashland Global Inc
ATR,Aptargroup Inc
AVNT,Avient Corporation
AVT,Avnet Inc
AXON,"Axon Enterprise, Inc."
AYI,Acuity Brands Inc
AZPN,Aspen Technology Inc
AZTA,"Azenta, Inc."
BC,Brunswick Corp
BCO,Brinks
BDC,Belden Inc
BHF,Brighthouse Financial
BJ,BJs Wholesale Club Holdings Inc
BKH,Black Hills Corp
BLD,Topbuild Corp
BLDR,Builders Firstsource Inc
BLKB,Blackbaud Inc
BOH,Bank Of Hawaii Corp.
BRKR,Bruker Corp
BRX,Brixmor Property Group Inc
BYD,Boyd Gaming Corp
CABO,Cable One Inc
CACI,CACI International Inc
CADE,Cadence Bancorporation
CALX,Calix Networks Inc
CAR,Avis Budget Group Inc
CASY,Caseys General Stores Inc
CATY,Cathay General Bancorp
CBRL,Cracker Barrel Old Country Store
CBSH,Commerce Bancshares Inc
CBT,Cabot Corp
CC,Chemours Company
CCMP,Cabot Microelectronics Corp
CDK,CDK Global Inc
CFR,Cullen Frost Bankers Inc
CFX,Colfax Corp
CGNX,Cognex Corp
CHDN,Churchill Downs Inc
CHE,Chemed Corp
CHH,Choice Hotels International Inc
CHX,ChampionX Corporation
CIEN,Ciena Corp
CLF,Cleveland-Cliffs Inc.
CLH,Clean Harbors Inc
CMC,Commercial Metals
CMP,Compass Minerals International Inc
CNO,CNO Financial Group Inc
CNX,CNX Resources Corporation
CNXC,Concentrix Corporation
COHR,Coherent Inc
COLM,Columbia Sportswear
CONE,CyrusOne Inc
COTY,Coty Inc Class A
CPRI,Capri Holdings Limited
CPT,Camden Property Trust
CR,Crane
CRI,Carters Inc
CRNC,Cerence Inc.
CROX,Crocs Inc
CRUS,Cirrus Logic Inc
CSL,Carlisle Companies Inc
CUZ,Cousins Properties Incorporated
CVLT,Commvault Systems Inc
CW,Curtiss Wright Corp
DAN,Dana Incorporated Inc
DAR,Darling Ingredients Inc
DCI,Donaldson Inc
DECK,Deckers Outdoor Corp
DEI,"Douglas Emmett, Inc"
DKS,Dicks Sporting Inc
DOC,Physicians Realty Trust
DTM,"DT Midstream, Inc."
DY,Dycom Industries Inc
EGP,"EastGroup Properties, Inc"
EHC,Encompass Health Corp
ELY,Callaway Golf
EME,Emcor Group Inc
ENR,Energizer Holdings Inc
ENS,Enersys
ENV,Envestnet Inc
EPR,EPR Properties
EQT,EQT Corporation
ESNT,Essent Group Ltd
ETRN,Equitrans Midstream Corporation
EVR,Evercore Inc. Class A
EWBC,East West Bancorp Inc
EXEL,Exelixis Inc
EXP,Eagle Materials Inc
FAF,First American Financial Corp
FCFS,Firstcash Inc
FCN,FTI Consulting Inc
FFIN,First Financial Bankshares Inc
FHI,"Federated Hermes, Inc."
FHN,First Horizon National Corp
FICO,Fair Isaac Corp
FIVE,Five Below Inc
FL,Foot Locker Inc
FLO,Flowers Foods Inc
FLR,Fluor Corp
FLS,Flowserve Corp
FNB,FNB Corp
FOXF,Fox Factory Holding Corp
FR,"First Industrial Realty Trust, Inc"
FSLR,First Solar Inc
FULT,Fulton Financial Corp
G,Genpact Ltd
GATX,Gatx Corp
GBCI,Glacier Bancorp Inc
GEF,Greif Inc Class A
GGG,Graco Inc
GHC,Graham Holdings Company Class B
GME,Gamestop Corp Class A
GMED,Globus Medical Inc Class A
GNTX,Gentex Corp
GO,Grocery Outlet Holding Corp.
GT,Goodyear Tire & Rubber
GXO,"GXO Logistics, Inc."
HAE,Haemonetics Corp
HAIN,Hain Celestial Group Inc
HALO,Halozyme Therapeutics Inc
HBI,Hanesbrands Inc
HE,Hawaiian Electric Industries Inc
HELE,Helen Of Troy Ltd
HFC,HollyFrontier Corp
HIW,"Highwoods Properties, Inc"
HOG,Harley Davidson Inc
HOMB,Home Bancshares Inc
HPP,"Hudson Pacific Properties, Inc"
HQY,Healthequity Inc
HR,Healthcare Realty Trust Incorporated
HRB,H&R Block Inc
HUBB,Hubbell Inc
HWC,Hancock Whitney Corp
HXL,Hexcel Corp
IAA,"IAA, Inc."
IART,Integra Lifesciences Holdings Corp
IBKR,Interactive Brokers Group Inc
IBOC,International Bancshares Corp
ICUI,ICU Medical Inc
IDA,"IDACORP, Inc."
IIVI,Ii Vi Inc
INGR,Ingredion Inc
IRDM,Iridium Communications Inc
ITT,ITT Inc
JACK,Jack In The Box Inc
JAZZ,Jazz Pharmaceuticals Plc
JBGS,JBG Smith Properties
JBL,Jabil Inc
JBLU,Jetblue Airways Corp
JEF,Jefferies Financial Group Inc
JHG,Janus Henderson Group Plc
JLL,Jones Lang LaSalle Inc
JW.A,John Wiley & Sons Class A
JWN,Nordstrom Inc
KBH,KB Home
KBR,"KBR, Inc."
KD,"Kyndryl Holdings, Inc."
KEX,Kirby Corp
KMPR,Kemper Corp
KMT,Kennametal Inc
KNSL,Kinsale Capital Group Inc
KNX,Knight Transportation Inc
KRC,Kilroy Realty Corporation
KRG,Kite Realty Group Trust
KSS,Kohls Corporation
LAD,Lithia Motors Inc Class A
LAMR,Lamar Advertising Company Class A
LANC,Lancaster Colony Corp
LEA,Lear Corp
LECO,Lincoln Electric Holdings Inc
LEG,Leggett & Platt Inc
LFUS,Littelfuse Inc
LHCG,LHC Group Inc
LII,Lennox International Inc
LITE,Lumentum Holdings Inc
LIVN,Livanova PLC
LOPE,Grand Canyon Education Inc
LPX,Louisiana Pacific Corp
LSCC,Lattice Semiconductor Corp
LSI,"Life Storage, Inc"
LSTR,Landstar System Inc
M,Macys Inc.
MAC,Macerich Company
MAN,Manpower Inc
MANH,Manhattan Associates Inc
MASI,Masimo Corp
MAT,Mattel Inc
MCY,Mercury General Corp
MDU,MDU Resources Group Inc
MEDP,Medpace Holdings Inc
MIDD,Middleby Corp
MIME,Mimecast Limited
MKSI,MKS Instruments Inc
MLKN,"MillerKnoll, Inc."
MMS,Maximus Inc
MOH,Molina Healthcare Inc
MPW,"Medical Properties Trust, Inc"
MRCY,Mercury Systems Inc
MSA,MSA Safety Inc
MSM,MSC Industrial Inc Class A
MTG,MGIC Investment Corp
MTX,Minerals Technologies Inc
MTZ,Mastec Inc
MUR,Murphy Oil Corp
MUSA,Murphy USA Inc.
NATI,National Instruments Corp
NAVI,Navient Corp
NBIX,Neurocrine Biosciences Inc
NCR,NCR Corp
NDSN,Nordson Corp
NEOG,Neogen Corp
NEU,Newmarket Corp
NFG,National Fuel Gas
NGVT,Ingevity Corp
NJR,New Jersey Resources Corp
NNN,"National Retail Properties, Inc"
NOV,National Oilwell Varco Inc
NSA,National Storage Affiliates Trust
NSP,Insperity Inc
NUS,Nu Skin Enterprises Inc
NUVA,Nuvasive Inc
NVST,Envista Holdings Corporation
NVT,Nvent Electric Plc
NWE,Northwestern Corp
NYCB,New York Community Bancorp
NYT,New York Times Class A
OC,Owens Corning
OFC,Corporate Office Properties Trust
OGE,OGE Energy Corp
OGS,One Gas Inc
OHI,"Omega Healthcare Investors, Inc"
OLED,Universal Display Corp
OLLI,Ollies Bargain Outlet Holdings Inc
OLN,Olin Corp
OPCH,"Option Care Health, Inc."
ORI,Old Republic International Corp
OSK,Oshkosh Corp
OZK,Bank of the Ozarks
PACW,Pacwest Bancorp
PB,Prosperity Bancshares Inc
PCH,PotlatchDeltic Corporation
PCTY,Paylocity Holding Corp
PDCO,Patterson Companies Inc
PEB,Pebblebrook Hotel Trust
PEN,Penumbra Inc
PFGC,Performance Food Group
PGNY,"Progyny, Inc."
PII,Polaris Industries Inc
PK,Park Hotels & Resorts Inc
PNFP,Pinnacle Financial Partners Inc
PNM,PNM Resources Inc
POST,Post Holdings Inc
POWI,Power Integrations Inc
PPC,Pilgrims Pride Corp
PRG,"PROG Holdings, Inc."
PRGO,Perrigo Plc
PRI,Primerica Inc
PSB,"PS Business Parks, Inc"
PZZA,Papa Johns International Inc
QDEL,Quidel Corp
QLYS,Qualys Inc
R,Ryder System Inc
RAMP,Liveramp Holdings Inc
RCM,R1 RCM Inc.
REXR,"Rexford Industrial Realty, Inc"
RGA,Reinsurance Group Of America Inc
RGEN,Repligen Corp
RGLD,Royal Gold Inc
RH,RH
RLI,RLI Corp
RNR,Renaissancere Holding Ltd
RPM,RPM International Inc
RRX,Regal Rexnord Corporation
RS,Reliance Steel & Aluminum
RUN,Sunrun Inc
RYN,Rayonier Inc
SABR,Sabre Corp
SAFM,Sanderson Farms Inc
SAIA,Saia Inc
SAIC,Science Applications International
SAIL,Sailpoint Technologies Holding
SAM,Boston Beer Inc Class A
SBRA,"Sabra Health Care REIT, Inc"
SCI,Service Corporation International
SEIC,SEI Investments
SF,Stifel Financial Corp
SFM,Sprouts Farmers Market Inc
SGMS,Scientific Games Corp
SIGI,Selective Insurance Group Inc
SITM,SiTime Corporation
SIX,Six Flags Entertainment Corp
SKX,Skechers USA Inc
SLAB,Silicon Laboratories Inc
SLG,SL Green Realty Corp
SLGN,Silgan Holdings Inc
SLM,Sallie Mae
SMG,Scotts Miracle Gro
SMTC,Semtech Corp
SNV,Synovus Financial Corp
SNX,Synnex Corp
SON,Sonoco Products
SPWR,Sunpower Corp
SR,Spire Inc
SRC,"Spirit Realty Capital, Inc"
SRCL,Stericycle Inc
SSD,Simpson Manufacturing Inc
STAA,Staar Surgical
STL,Sterling Bancorp
STLD,Steel Dynamics Inc
STOR,STORE Capital Corporation
SWX,Southwest Gas Holdings Inc
SXT,Sensient Technologies Corp
SYNA,Synaptics Inc
SYNH,Syneos Health Inc
TCBI,Texas Capital Bancshares Inc
TDC,Teradata Corp
TEX,Terex Corp
TGNA,Tegna Inc
THC,Tenet Healthcare Corp
THG,Hanover Insurance Group Inc
THO,Thor Industries Inc
TKR,Timken
TMHC,Taylor Morrison Home Corp Class A
TNDM,Tandem Diabetes Care Inc
TNL,Travel & Leisure Co.
TOL,Toll Brothers Inc
TPH,TRI Pointe Group Inc
TPX,Tempur Sealy International Inc
TREX,Trex Inc
TRGP,Targa Resources Corp
TRIP,TripAdvisor Inc
TRN,Trinity Industries Inc
TTC,Toro
TTEK,Tetra Tech Inc
TXRH,Texas Roadhouse Inc
UBSI,United Bankshares Inc
UE,Urban Edge Properties
UGI,UGI Corp
UMBF,UMB Financial Corp
UMPQ,Umpqua Holdings Corp
UNM,Unum Group
UNVR,"Univar Solutions, Inc."
URBN,Urban Outfitters Inc
UTHR,United Therapeutics Corp
VAC,Marriott Vacations Worldwide Corp
VC,Visteon Corp
VICR,Vicor Corp
VLY,Valley National
VMI,Valmont Inds Inc
VNT,Vontier Corporation
VOYA,Voya Financial Inc
VSAT,Viasat Inc
VSCO,Victorias Secret & Co.
VSH,Vishay Intertechnology Inc
VVV,Valvoline Inc
WAFD,Washington Federal Inc
WBS,Webster Financial Corp
WEN,Wendys
WERN,Werner Enterprises Inc
WEX,Wex Inc
WH,Wyndham Hotels & Resorts Inc
WING,Wingstop Inc
WOLF,"Wolfspeed, Inc."
WOR,Worthington Industries Inc
WSM,Williams Sonoma Inc
WSO,Watsco Inc
WTFC,Wintrust Financial Corp
WTRG,"Essential Utilities, Inc."
WU,Western Union
WWD,Woodward Inc
WWE,World Wrestling Entertainment Inc
X,United States Steel Corporation
XPO,XPO Logistics Inc
XRX,Xerox Corp
Y,Alleghany Corp
YELP,Yelp Inc
YETI,"Yeti Holdings, Inc."
ZD,"Ziff Davis, Inc."
